,surface_composition,density,band_gap,efermi,formation_energy_per_atom,total_magnetization,volume,energy_per_atom,pretty_formula,material_id
1786,Tl3Ta,,,,,,,,,
1787,Tl3Re,,,,,,,,,
1788,Tl3Tc,,,,,,,,,
1789,Tl3Os,14.420421983770142,0.0,7.38855103,0.97229661125,0.4963456,185.02145232263481,-3.60577669125,Tl3Os,mp-1005760
1790,Tl3Ru,12.696128689846836,0.0,7.27512868,0.6521315125,0.59913495,186.82703603053238,-3.437705455,Tl3Ru,mp-980038
1791,Tl3Rh,,,,,,,,,
1792,Tl3Fe,11.70481560703216,0.0,7.01219,0.5923220425000002,2.9550978,94.90898482319919,-3.2962419075,Tl3Fe,mp-978962
1793,Tl3Mn,10.446436902919686,0.0,5.60756273,0.3958304288362071,0.0244001,212.39512436761063,-3.672280895,MnTl3,mp-975059
1794,Tl3Zn,10.019068511037196,0.0,5.06838659,0.13009279875000002,0.0106192,112.46290622704572,-1.9560120425,Tl3Zn,mp-981380
1795,Pb3Ru,,,,,,,,,
1796,Pb3Fe,,,,,,,,,
1797,Pb3Mn,,,,,,,,,
1798,Sn3Y,6.994335339347059,0.0,7.70419452,-0.44687570083333306,0.0019858,105.65684644904732,-5.0576156,YSn3,mp-11571
1799,Sn3Cd,7.135838811644347,0.0,6.41872973,0.04875627499999968,0.001531,218.06283895713304,-3.172015655,CdSn3,mp-1183741
1800,Sn3In,7.095905105591505,0.0,7.71459817,0.03835165249999983,0.0227043,110.20828783644622,-3.643790515,InSn3,mp-1223722
1801,Fe3Ru,,,,,,,,,
1802,Fe3Pd,8.783511186064345,0.0,5.04755566,0.2400970400000002,5.4157377,51.7917004206876,-7.405997475,Fe3Pd,mp-1224754
1803,Mn3Fe,8.1272547155484,0.0,5.9158892,0.020891060258620087,0.2627952,45.084487553794986,-8.9677130525,Mn3Fe,mp-999545
1804,RuY,,,,,,,,,
1805,Y3Ni,5.094566393129406,0.0,3.69781218,-0.23971141687500008,1.5225e-05,424.261892751581,-6.534222859375,Y3Ni,mp-1105633
1806,CdLa,6.833365360549924,0.0,5.67457197,-0.3329052225,0.3670857,61.071052767683774,-3.254010165,LaCd,mp-776
1807,Sc3Ta,,,,,,,,,
1808,Sc3V,3.6071666512776352,0.0,4.03884806,0.19846384500000003,0.0410473,171.0724927021683,-6.82147702625,Sc3V,mp-1186979
1809,Sc3Ir,,,,,,,,,
1810,Sc3Fe,,,,,,,,,
1811,Sc3Zn,,,,,,,,,
1812,Sc3Cd,4.4050491661184,0.0,3.63545793,-0.13547536624999967,0.89049645,186.42970190922546,-5.11137789,Sc3Cd,mp-972876
1813,Sc3Hg,6.095376435415869,0.0,4.04463144,-0.2241134412500001,0.99321555,182.7748234168523,-5.049372525,Sc3Hg,mp-861910
1814,Sc3Ga,4.007682379499581,0.0,4.20700292,-0.3342988,1.48226915,169.53983755312836,-5.84067310875,Sc3Ga,mp-1186968
1815,InSc,5.842137740027782,0.0,6.74533812,-0.4202397524999997,9.1e-06,45.41331178854555,-4.96231617,ScIn,mp-1207100
1816,Sc3Tl,5.950770014450747,0.0,5.23932269,-0.20860954374999974,1.70336155,189.33334586768396,-5.5483746025,Sc3Tl,mp-1186974
1817,Sc3Pb,5.927467155469983,0.0,5.44250594,-0.27472517125000007,0.9523209,95.82791842671588,-5.9522243875,Sc3Pb,mp-978531
1818,Zr3Ta,8.511116474236113,0.0,4.63273908,0.1532610662499998,0.0001004,177.394839673078,-9.22195872625,Zr3Ta,mp-1188053
1819,Zr3Ni,7.07812709883652,0.0,4.81016384,0.025514942499999194,0.00082625,155.94682700084778,-7.83021598,Zr3Ni,mp-1188073
1820,Zr3Fe,6.8088045429079305,0.0,4.35118584,-0.10845969375000131,0.0030013,160.72596831370996,-8.63655942625,Zr3Fe,mp-31205
1821,Zr3Pt,9.447990671889906,0.0,5.04334495,-0.4171550550000003,0.0018479,82.38658120387906,-8.345657455,Zr3Pt,mp-971951
1822,InZr,7.668908687332732,0.0,6.94222176,-0.31446825999999994,0.0005603,44.614012802830054,-5.96416044,ZrIn,mp-1207380
1823,Zr3Tl,8.763011739851516,0.0,5.632566,-0.11185922250000058,0.0020251,90.58866120595131,-7.113047925,Zr3Tl,mp-977585
1824,Ti3W,,,,,,,,,
1825,Ti3Re,,,,,,,,,
1826,Ti3Os,8.810681744826796,0.0,6.60861403,-0.3323198524999995,0.0102269,62.9167450597822,-9.060443095,Ti3Os,mp-865899
1827,Ti3Ru,,,,,,,,,
1828,Ti3Rh,,,,,,,,,
1829,Ti3Mn,,,,,,,,,
1830,Ti3Pd,6.400084291337905,0.0,5.87293662,-0.3476849662499992,0.00165475,129.73880313804727,-7.56309633125,Ti3Pd,mp-1079796
1831,Ti3Cd,5.943583862472373,0.0,5.02045233,0.044145787500000644,0.0358101,71.5255201836357,-6.1036945375,Ti3Cd,mp-1187466
1832,Ta3Mo,,,,,,,,,
1833,Ta3Re,17.566632545538077,0.0,5.91749072,-0.2181264337499993,0.0107227,68.91571655019501,-12.22259119,Ta3Re,mp-1187203
1834,Ta3Ru,15.767729870017549,0.0,6.25541424,-0.21654509999999938,0.0022896,67.81215581133102,-11.4284753375,Ta3Ru,mp-977390
1835,Ta3Rh,,,,,,,,,
1836,Ta3Fe,,,,,,,,,
1837,Ta3Mn,,,,,,,,,
1838,Ta3Cu,14.858201533016238,0.0,5.90987275,0.16494255500000143,0.0001707,67.76955370836869,-9.7531920725,Ta3Cu,mp-1187227
1839,Ta3Zn,,,,,,,,,
1840,Ta3Hg,,,,,,,,,
1841,Ta3Ga,,,,,,,,,
1842,Nb3Mo,,,,,,,,,
1843,Nb3Fe,8.559744897608926,0.0,5.20950232,0.030554282500000696,0.2123866,64.90343245026152,-9.6627487575,Nb3Fe,mp-999395
1844,NbTl,,,,,,,,,
1845,V3Mo,7.3713350479092705,0.0,6.46182854,-0.06821523249999828,0.0391402,56.03912560593462,-9.591391145,V3Mo,mp-972071
1846,V3W,,,,,,,,,
1847,V3Os,10.542920871722998,0.0,6.80124042,-0.3567829049999993,0.0045854,54.03202833009905,-9.975383645,V3Os,mp-866121
